,duration,speaker_id,gender
298,audio_2585.427_2604.125,SPEAKER_01,male
299,audio_2645.401_2659.171,SPEAKER_01,male
300,audio_2661.027_2673.447,SPEAKER_01,male
301,audio_2691.436_2696.4480000000003,SPEAKER_01,male
302,audio_2956.441_2983.441,SPEAKER_01,male
303,audio_1970.468_1972.0210000000002,SPEAKER_00,male
304,audio_2070.436_2077.1020000000003,SPEAKER_00,male
305,audio_2983.441_3018.339,SPEAKER_00,male
306,audio_2207.63_2209.655,SPEAKER_02,female
307,audio_2214.953_2269.561,SPEAKER_02,female
308,audio_2276.716_2277.999,SPEAKER_02,female
309,audio_2282.943_2325.3500000000004,SPEAKER_02,female
310,audio_2632.745_2638.246,SPEAKER_02,female
311,audio_2638.955_2643.494,SPEAKER_02,female
312,audio_2772.757_2777.955,SPEAKER_02,female
313,audio_2876.403_2919.1299999999997,SPEAKER_02,female
